taxonomy	B3	X18	X42	X22	X9	B1	X10	B8	X20	B7	C	X39	B11	X4	B10	X29	X2	B9	X19	B5	X33	X16	X40	D	X1	X17	B6	X3	X27	X12	X15	B4	X7	B2	X26	X13	X34	X32	X36	X35	X6	X5	X37	X21	X25	X23	B	X8	X11	X28	X24
D_0__Bacteria; D_1__Acidobacteria; D_2__Acidobacteriia	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D_0__Bacteria; D_1__Acidobacteria; D_2__Blastocatellia (Subgroup 4)	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	4	0	7	11	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0
D_0__Bacteria; D_1__Acidobacteria; D_2__Holophagae	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D_0__Bacteria; D_1__Acidobacteria; D_2__Subgroup 6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D_0__Bacteria; D_1__Acidobacteria; D_2__Thermoanaerobaculia	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D_0__Bacteria; D_1__Actinobacteria; D_2__Acidimicrobiia	0	0	0	0	8	0	0	4	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
D_0__Bacteria; D_1__Actinobacteria; D_2__Actinobacteria	1232	621	537	1294	326	293	1899	270	948	163	578	603	146	12	24	34	73	584	868	396	984	471	193	23	80	1987	564	18	999	1282	9	92	640	316	374	957	491	442	402	661	568	272	111	88	19	387	799	0	34	639	336
D_0__Bacteria; D_1__Actinobacteria; D_2__Coriobacteriia	16	8	0	67	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	30	0	0	0	3	0	0	0	0	17	5	0	0	0	2	0	0	0	0	0	0	11
D_0__Bacteria; D_1__Actinobacteria; D_2__Thermoleophilia	0	0	0	0	52	10	0	4	0	0	0	0	0	0	0	0	0	0	0	2	0	7	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52
D_0__Bacteria; D_1__Armatimonadetes; D_2__uncultured	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D_0__Bacteria; D_1__Bacteroidetes; D_2__Bacteroidia	166	54	42	57	565	285	352	101	530	6	20	305	123	0	0	15	0	41	92	341	558	52	61	2	17	75	209	4	192	814	2	24	99	482	126	16	151	18	8	67	3	0	6	3	2	120	530	0	15	99	537
